Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,201912,Coll_Principal,0,999,StaticCohortAvg,3,,v7.0j: Changed from StaticCohortAvg(12) to StaticCohortAvg(3). Near-runoff cohort at MOB69+; last 3 obs show near-zero or positive (recovery) rates; 12-mo avg too high and wrong-sign.
NON PRIME,202001,Coll_Principal,0,999,StaticCohortAvg,3,,v7.0j: Changed from StaticCohortAvg(12) to StaticCohortAvg(3). Near-runoff cohort; last 3 obs show positive rates (net recoveries dominating); 12-mo avg overstates collection intensity.
NON PRIME,202101,Coll_Principal,0,999,StaticCohortAvg,3,,v7.0j: Changed from StaticCohortAvg(12) to StaticCohortAvg(3). Cohort approaching runoff at MOB55-56; last 3 obs near-zero; 12-mo avg overstates tail collections.
NON PRIME,202201,Coll_Principal,0,999,StaticCohortAvg,12,,
NON PRIME,202301,Coll_Principal,0,999,DonorCohort,202101,,
NON PRIME,202404,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202405,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202406,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202407,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202408,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202409,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202410,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202411,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202412,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202501,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202502,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202503,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202504,Coll_Principal,0,999,ShapeBorrowScaled,202201,additive,v7.0k2: Borrow 202201 mid-life arc (ramp-peak-dip shape MOB13-36). Lc anchors to target own actuals. Replaces flat StaticCohortAvg/SegMedian.
NON PRIME,202505,Coll_Principal,0,999,ShapeBorrowScaled,202405,additive,"v7.0k: Changed from StaticCohortAvg(4). Flat hold cannot capture the ramp as cohort seasons. ShapeBorrowScaled(202405, ratio:4) preserves donor ramp shape scaled to 202505 own rate at MOB4."
